Player,Slots,BJ,Craps,Bac,Bingo,Poker,Other,Total Spend,Gender,Age
Player 54,688.0,201.0,124.0,81.0,0.0,177.0,488.0,1759.0,Female,62.0
Player 55,582.0,3156.0,3358.0,967.0,0.0,0.0,0.0,8063.0,Male,53.0
Player 56,1504.0,3379.0,4468.0,765.0,0.0,0.0,0.0,10116.0,Male,69.0
Player 57,788.0,205.0,252.0,133.0,0.0,209.0,519.0,2107.0,Male,36.0
Player 58,74.0,34.0,24.0,14.0,0.0,28.0,57.0,231.0,Female,21.0
Player 59,94.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,Female,29.0
Player 60,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Female,55.0
Player 61,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,Female,45.0
Player 62,50.0,32.0,17.0,5.0,0.0,15.0,54.0,173.0,Female,49.0
Player 63,92.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,Male,63.0
Player 64,39.0,26.0,27.0,8.0,0.0,17.0,62.0,179.0,Male,68.0
Player 65,51.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,Female,30.0
Player 66,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Female,27.0
Player 67,101.0,19.0,22.0,10.0,0.0,23.0,65.0,240.0,Female,56.0
Player 68,78.0,33.0,25.0,7.0,0.0,14.0,43.0,201.0,Male,41.0
Player 69,59.0,28.0,23.0,13.0,0.0,17.0,33.0,172.0,Female,47.0
Player 70,54.0,40.0,29.0,8.0,0.0,22.0,50.0,204.0,Female,32.0
Player 71,100.0,15.0,20.0,8.0,0.0,22.0,54.0,219.0,Female,54.0
Player 72,416.0,0.0,0.0,0.0,84.0,0.0,0.0,499.0,Female,28.0
Player 73,0.0,0.0,697.0,0.0,0.0,0.0,0.0,697.0,Male,30.0
Player 74,438.0,256.0,261.0,112.0,0.0,190.0,500.0,1757.0,Male,60.0
Player 75,412.0,3960.0,4302.0,599.0,0.0,0.0,0.0,9273.0,Male,33.0
Player 76,321.0,0.0,0.0,0.0,67.0,0.0,0.0,388.0,Male,47.0
Player 77,421.0,0.0,0.0,0.0,93.0,0.0,0.0,515.0,Female,53.0
Player 78,65.0,42.0,22.0,8.0,0.0,10.0,71.0,217.0,Female,67.0
Player 79,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,Male,60.0
Player 80,666.0,3919.0,4017.0,920.0,0.0,0.0,0.0,9523.0,Male,27.0
Player 81,119.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,Female,31.0
Player 82,592.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,Male,45.0
Player 83,63.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Female,59.0
Player 84,885.0,252.0,198.0,91.0,0.0,190.0,418.0,2034.0,Male,47.0
Player 85,629.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,Female,63.0
Player 86,63.0,25.0,20.0,16.0,0.0,31.0,57.0,212.0,Male,60.0
Player 87,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,Female,62.0
Player 88,663.0,195.0,242.0,77.0,0.0,250.0,650.0,2077.0,Male,22.0
Player 89,95.0,39.0,29.0,12.0,0.0,15.0,59.0,250.0,Female,40.0
Player 90,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,Male,68.0
Player 91,879.0,457.0,187.0,101.0,0.0,158.0,213.0,1995.0,Female,33.0
Player 92,30.0,30.0,16.0,14.0,0.0,11.0,32.0,132.0,Male,53.0
Player 93,499.0,352.0,189.0,42.0,0.0,278.0,540.0,1900.0,Male,56.0
Player 94,61.0,34.0,20.0,14.0,0.0,30.0,70.0,229.0,Female,65.0
Player 95,325.0,0.0,0.0,0.0,97.0,0.0,0.0,422.0,Male,28.0
Player 96,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,Male,24.0
Player 97,82.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,Female,38.0
Player 98,58.0,37.0,19.0,10.0,0.0,7.0,43.0,175.0,Female,21.0
Player 99,176.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,Male,32.0
Player 100,0.0,0.0,0.0,0.0,0.0,0.0,641.0,641.0,Male,54.0
Player 101,64.0,30.0,22.0,18.0,0.0,13.0,62.0,209.0,Male,24.0
Player 102,0.0,0.0,605.0,0.0,0.0,0.0,0.0,605.0,Male,35.0
Player 103,398.0,0.0,0.0,0.0,91.0,0.0,0.0,489.0,Male,59.0
Player 104,85.0,38.0,8.0,12.0,0.0,25.0,54.0,222.0,Female,45.0
Player 105,0.0,0.0,0.0,502.0,0.0,0.0,0.0,502.0,Male,60.0
Player 106,419.0,0.0,0.0,0.0,166.0,0.0,0.0,585.0,Male,40.0
Player 107,607.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,Male,29.0
Player 108,107.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,Female,41.0
Player 109,796.0,264.0,147.0,60.0,0.0,96.0,357.0,1720.0,Male,67.0
Player 110,793.0,2258.0,4197.0,1137.0,0.0,0.0,0.0,8386.0,Male,34.0
Player 111,967.0,89.0,189.0,69.0,0.0,146.0,357.0,1816.0,Female,66.0
Player 112,43.0,40.0,24.0,13.0,0.0,18.0,58.0,197.0,Male,63.0
Player 113,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,Male,51.0
Player 114,39.0,38.0,20.0,10.0,0.0,20.0,51.0,177.0,Female,65.0
Player 115,653.0,364.0,239.0,167.0,0.0,189.0,319.0,1932.0,Male,55.0
Player 116,0.0,684.0,0.0,0.0,0.0,0.0,0.0,684.0,Male,40.0
Player 117,609.0,0.0,0.0,0.0,89.0,0.0,0.0,698.0,Male,37.0
Player 118,533.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,Female,64.0
Player 119,533.0,0.0,0.0,0.0,99.0,0.0,0.0,633.0,Male,44.0
Player 120,505.0,0.0,0.0,0.0,43.0,0.0,0.0,549.0,Female,66.0
Player 121,769.0,322.0,207.0,110.0,0.0,227.0,453.0,2088.0,Female,59.0
Player 122,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,Female,34.0
Player 123,0.0,0.0,0.0,0.0,0.0,0.0,594.0,594.0,Female,37.0
Player 124,1046.0,4290.0,5392.0,1441.0,0.0,0.0,0.0,12170.0,Female,34.0
Player 125,374.0,0.0,0.0,0.0,109.0,0.0,0.0,483.0,Male,32.0
Player 126,440.0,298.0,213.0,114.0,0.0,126.0,520.0,1710.0,Female,39.0
Player 127,255.0,0.0,0.0,0.0,129.0,0.0,0.0,384.0,Male,32.0
Player 128,1128.0,4966.0,3954.0,1023.0,0.0,0.0,0.0,11071.0,Male,64.0
Player 129,0.0,0.0,0.0,0.0,0.0,0.0,439.0,439.0,Female,58.0
Player 130,708.0,158.0,186.0,83.0,0.0,189.0,212.0,1536.0,Male,52.0
Player 131,836.0,155.0,188.0,87.0,0.0,112.0,741.0,2119.0,Female,49.0
Player 132,853.0,3874.0,3080.0,476.0,0.0,0.0,0.0,8283.0,Female,61.0
Player 133,83.0,30.0,26.0,11.0,0.0,19.0,60.0,231.0,Male,47.0
Player 134,38.0,23.0,27.0,13.0,0.0,23.0,56.0,180.0,Female,70.0
Player 135,84.0,35.0,28.0,15.0,0.0,24.0,61.0,247.0,Female,41.0
Player 136,82.0,36.0,21.0,7.0,0.0,19.0,59.0,224.0,Male,27.0
Player 137,63.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Male,23.0
Player 138,85.0,37.0,12.0,12.0,0.0,21.0,73.0,240.0,Male,69.0
Player 139,27.0,26.0,13.0,5.0,0.0,22.0,41.0,135.0,Male,63.0
Player 140,1253.0,4369.0,5281.0,794.0,0.0,0.0,0.0,11697.0,Female,53.0
Player 141,398.0,291.0,168.0,60.0,0.0,259.0,653.0,1829.0,Female,55.0
Player 142,900.0,6042.0,4839.0,1177.0,0.0,0.0,0.0,12958.0,Male,67.0
Player 143,273.0,0.0,0.0,0.0,114.0,0.0,0.0,387.0,Female,64.0
Player 144,63.0,30.0,12.0,9.0,0.0,26.0,39.0,179.0,Female,32.0
Player 145,61.0,27.0,29.0,7.0,0.0,28.0,60.0,213.0,Male,45.0
Player 146,696.0,294.0,220.0,80.0,0.0,107.0,569.0,1966.0,Male,36.0
Player 147,94.0,43.0,16.0,12.0,0.0,18.0,58.0,242.0,Male,64.0
Player 148,0.0,0.0,0.0,0.0,0.0,0.0,611.0,611.0,Male,21.0
Player 149,573.0,344.0,154.0,136.0,0.0,130.0,552.0,1888.0,Female,70.0
Player 150,992.0,436.0,322.0,83.0,0.0,256.0,685.0,2774.0,Female,50.0
Player 151,113.0,37.0,13.0,10.0,0.0,7.0,34.0,214.0,Male,53.0
Player 152,109.0,22.0,15.0,9.0,0.0,16.0,49.0,220.0,Female,89.0
Player 153,72.0,31.0,15.0,8.0,0.0,21.0,79.0,225.0,Female,39.0
Player 154,776.0,3668.0,3601.0,1071.0,0.0,0.0,0.0,9116.0,Male,68.0
Player 155,0.0,0.0,0.0,630.0,0.0,0.0,0.0,630.0,Male,43.0
Player 156,76.0,40.0,31.0,11.0,0.0,19.0,28.0,205.0,Female,34.0
Player 157,107.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,Male,32.0
Player 158,633.0,389.0,89.0,115.0,0.0,153.0,211.0,1589.0,Male,35.0
Player 159,0.0,298.0,0.0,0.0,0.0,0.0,0.0,298.0,Male,22.0
Player 160,376.0,229.0,120.0,131.0,0.0,174.0,352.0,1382.0,Female,36.0
Player 161,791.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,Male,56.0
Player 162,384.0,0.0,0.0,0.0,54.0,0.0,0.0,439.0,Female,37.0
Player 163,910.0,525.0,235.0,81.0,0.0,230.0,755.0,2736.0,Female,24.0
Player 164,79.0,42.0,25.0,10.0,0.0,26.0,24.0,205.0,Female,47.0
Player 165,142.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,Male,40.0
Player 166,800.0,267.0,200.0,73.0,0.0,158.0,155.0,1653.0,Male,44.0
Player 167,834.0,255.0,239.0,113.0,0.0,232.0,407.0,2080.0,Female,25.0
Player 168,612.0,201.0,348.0,92.0,0.0,212.0,581.0,2047.0,Male,29.0
Player 169,297.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,Male,52.0
Player 170,0.0,927.0,0.0,0.0,0.0,0.0,0.0,927.0,Male,26.0
Player 171,708.0,206.0,144.0,68.0,0.0,149.0,216.0,1491.0,Female,65.0
Player 172,308.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,Male,25.0
Player 173,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,Female,68.0
Player 174,40.0,23.0,19.0,9.0,0.0,27.0,41.0,159.0,Male,54.0
Player 175,113.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,Female,42.0
Player 176,497.0,0.0,0.0,0.0,139.0,0.0,0.0,637.0,Male,69.0
Player 177,90.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,Female,23.0
Player 178,0.0,0.0,510.0,0.0,0.0,0.0,0.0,510.0,Male,25.0
Player 179,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Female,49.0
Player 180,563.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,Male,69.0
Player 181,481.0,274.0,179.0,83.0,0.0,224.0,499.0,1740.0,Male,46.0
Player 182,436.0,224.0,318.0,116.0,0.0,203.0,718.0,2016.0,Female,23.0
Player 183,273.0,0.0,0.0,0.0,95.0,0.0,0.0,368.0,Male,44.0
Player 184,57.0,26.0,20.0,10.0,0.0,29.0,53.0,195.0,Female,45.0
Player 185,739.0,370.0,168.0,120.0,0.0,253.0,308.0,1957.0,Female,30.0
Player 186,60.0,32.0,23.0,15.0,0.0,16.0,62.0,208.0,Female,34.0
Player 187,444.0,279.0,224.0,63.0,0.0,95.0,588.0,1694.0,Female,60.0
Player 188,0.0,0.0,0.0,662.0,0.0,0.0,0.0,662.0,Female,55.0
Player 189,0.0,0.0,520.0,0.0,0.0,0.0,0.0,520.0,Female,55.0
Player 190,89.0,29.0,25.0,10.0,0.0,18.0,33.0,203.0,Male,53.0
Player 191,279.0,0.0,0.0,0.0,92.0,0.0,0.0,371.0,Female,51.0
Player 192,831.0,298.0,135.0,76.0,0.0,127.0,639.0,2108.0,Female,68.0
Player 193,0.0,0.0,0.0,0.0,0.0,0.0,534.0,534.0,Male,53.0
Player 194,77.0,21.0,16.0,11.0,0.0,10.0,52.0,187.0,Male,69.0
Player 195,54.0,36.0,9.0,10.0,0.0,28.0,38.0,175.0,Male,65.0
Player 196,929.0,176.0,148.0,116.0,0.0,174.0,605.0,2149.0,Female,58.0
Player 197,154.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,Female,22.0
Player 198,374.0,419.0,184.0,97.0,0.0,215.0,496.0,1785.0,Male,57.0
Player 199,121.0,40.0,31.0,7.0,0.0,15.0,43.0,256.0,Male,67.0
Player 200,67.0,35.0,21.0,11.0,0.0,15.0,86.0,235.0,Female,47.0
Player 201,86.0,35.0,16.0,8.0,0.0,21.0,58.0,225.0,Female,34.0
Player 202,465.0,374.0,173.0,98.0,0.0,201.0,558.0,1869.0,Male,53.0
Player 203,533.0,386.0,178.0,41.0,0.0,139.0,758.0,2036.0,Male,70.0
Player 204,397.0,0.0,0.0,0.0,93.0,0.0,0.0,490.0,Female,44.0
Player 205,89.0,28.0,15.0,11.0,0.0,20.0,54.0,217.0,Female,45.0
Player 206,74.0,45.0,20.0,14.0,0.0,16.0,47.0,216.0,Female,27.0
Player 207,70.0,28.0,26.0,10.0,0.0,14.0,47.0,194.0,Male,69.0
Player 208,108.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,Male,45.0
Player 209,617.0,501.0,334.0,167.0,0.0,283.0,442.0,2344.0,Female,21.0
Player 210,85.0,23.0,20.0,6.0,0.0,16.0,60.0,209.0,Male,39.0
Player 211,35.0,38.0,15.0,9.0,0.0,23.0,70.0,190.0,Male,56.0
Player 212,85.0,17.0,7.0,8.0,0.0,19.0,61.0,197.0,Male,41.0
Player 213,911.0,406.0,128.0,89.0,0.0,228.0,323.0,2085.0,Female,35.0
Player 214,1042.0,359.0,244.0,29.0,0.0,165.0,460.0,2300.0,Male,60.0
Player 215,62.0,26.0,6.0,13.0,0.0,22.0,41.0,169.0,Female,46.0
Player 216,681.0,0.0,0.0,0.0,0.0,0.0,0.0,681.0,Female,69.0
Player 217,55.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Male,26.0
Player 218,69.0,13.0,19.0,12.0,0.0,18.0,17.0,148.0,Male,70.0
Player 219,789.0,462.0,153.0,145.0,0.0,248.0,340.0,2137.0,Female,52.0
Player 220,0.0,0.0,0.0,0.0,0.0,523.0,0.0,523.0,Female,46.0
Player 221,560.0,376.0,145.0,131.0,0.0,188.0,140.0,1539.0,Female,30.0
Player 222,55.0,32.0,10.0,6.0,0.0,15.0,68.0,186.0,Male,67.0
Player 223,418.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,Male,66.0
Player 224,46.0,20.0,23.0,11.0,0.0,31.0,26.0,157.0,Male,21.0
Player 225,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,Male,52.0
Player 226,0.0,0.0,0.0,0.0,0.0,0.0,487.0,487.0,Male,52.0
Player 227,0.0,582.0,0.0,0.0,0.0,0.0,0.0,582.0,Female,39.0
Player 228,0.0,318.0,0.0,0.0,0.0,0.0,0.0,318.0,Female,34.0
Player 229,74.0,26.0,13.0,11.0,0.0,23.0,40.0,188.0,Male,63.0
Player 230,54.0,39.0,13.0,8.0,0.0,14.0,36.0,165.0,Male,30.0
Player 231,0.0,0.0,0.0,0.0,0.0,0.0,557.0,557.0,Female,27.0
Player 232,86.0,24.0,28.0,7.0,0.0,20.0,47.0,212.0,Male,36.0
Player 233,24.0,26.0,18.0,9.0,0.0,15.0,58.0,150.0,Male,47.0
Player 234,0.0,0.0,683.0,0.0,0.0,0.0,0.0,683.0,Female,52.0
Player 235,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Female,70.0
Player 236,1101.0,2626.0,5304.0,980.0,0.0,0.0,0.0,10010.0,Female,68.0
Player 237,534.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,Male,43.0
Player 238,564.0,240.0,169.0,118.0,0.0,209.0,467.0,1766.0,Female,70.0
Player 239,72.0,36.0,23.0,7.0,0.0,13.0,62.0,214.0,Female,40.0
Player 240,79.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,Male,63.0
Player 241,0.0,0.0,554.0,0.0,0.0,0.0,0.0,554.0,Female,69.0
Player 242,288.0,0.0,0.0,0.0,87.0,0.0,0.0,375.0,Female,24.0
Player 243,90.0,44.0,21.0,8.0,0.0,31.0,49.0,243.0,Female,57.0
Player 244,111.0,17.0,15.0,6.0,0.0,16.0,11.0,177.0,Female,26.0
Player 245,80.0,21.0,9.0,15.0,0.0,6.0,33.0,164.0,Female,26.0
Player 246,789.0,5012.0,3861.0,1581.0,0.0,0.0,0.0,11242.0,Female,27.0
Player 247,82.0,23.0,20.0,8.0,0.0,14.0,59.0,206.0,Female,56.0
Player 248,49.0,28.0,19.0,13.0,0.0,18.0,75.0,202.0,Female,22.0
Player 249,0.0,0.0,0.0,0.0,0.0,0.0,446.0,446.0,Female,22.0
Player 250,88.0,28.0,27.0,7.0,0.0,8.0,48.0,205.0,Female,52.0
Player 251,345.0,0.0,0.0,0.0,103.0,0.0,0.0,448.0,Male,25.0
Player 252,0.0,0.0,0.0,0.0,0.0,686.0,0.0,686.0,Male,57.0
Player 253,688.0,3923.0,4635.0,1120.0,0.0,0.0,0.0,10365.0,Male,64.0
Player 254,634.0,181.0,150.0,126.0,0.0,150.0,490.0,1732.0,Female,60.0
Player 255,63.0,26.0,20.0,10.0,0.0,24.0,81.0,224.0,Male,39.0
Player 256,293.0,331.0,276.0,72.0,0.0,166.0,650.0,1788.0,Female,40.0
Player 257,539.0,0.0,0.0,0.0,130.0,0.0,0.0,669.0,Female,21.0
Player 258,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Female,58.0
Player 259,393.0,0.0,0.0,0.0,78.0,0.0,0.0,471.0,Male,70.0
Player 260,592.0,243.0,217.0,65.0,0.0,205.0,257.0,1580.0,Male,34.0
Player 261,710.0,4515.0,4674.0,625.0,0.0,0.0,0.0,10524.0,Female,46.0
Player 262,562.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,Male,30.0
Player 263,0.0,466.0,0.0,0.0,0.0,0.0,0.0,466.0,Male,24.0
Player 264,61.0,37.0,23.0,7.0,0.0,26.0,57.0,209.0,Male,47.0
Player 265,385.0,0.0,0.0,0.0,108.0,0.0,0.0,492.0,Male,23.0
Player 266,84.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,Female,30.0
Player 267,1076.0,5429.0,3605.0,933.0,0.0,0.0,0.0,11042.0,Male,45.0
Player 268,103.0,38.0,12.0,7.0,0.0,10.0,47.0,217.0,Female,51.0
Player 269,494.0,164.0,207.0,60.0,0.0,162.0,640.0,1727.0,Male,46.0
Player 270,87.0,44.0,23.0,11.0,0.0,18.0,45.0,227.0,Female,56.0
Player 271,560.0,210.0,178.0,68.0,0.0,313.0,491.0,1819.0,Male,47.0
Player 272,880.0,307.0,249.0,78.0,0.0,139.0,598.0,2250.0,Male,27.0
Player 273,765.0,337.0,255.0,125.0,0.0,214.0,586.0,2283.0,Male,37.0
Player 274,474.0,251.0,288.0,132.0,0.0,169.0,410.0,1725.0,Female,30.0
Player 275,1325.0,1640.0,3615.0,1059.0,0.0,0.0,0.0,7639.0,Female,34.0
Player 276,594.0,285.0,236.0,94.0,0.0,188.0,531.0,1929.0,Male,56.0
Player 277,62.0,40.0,28.0,9.0,0.0,17.0,37.0,194.0,Male,29.0
Player 278,655.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,Female,46.0
Player 279,522.0,0.0,0.0,0.0,47.0,0.0,0.0,570.0,Female,35.0
Player 280,89.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,Female,62.0
Player 281,563.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,Female,56.0
Player 282,77.0,25.0,16.0,9.0,0.0,16.0,50.0,193.0,Male,26.0
Player 283,226.0,0.0,0.0,0.0,96.0,0.0,0.0,322.0,Male,61.0
Player 284,543.0,368.0,288.0,108.0,0.0,124.0,388.0,1820.0,Female,68.0
Player 285,668.0,368.0,224.0,122.0,0.0,266.0,428.0,2077.0,Female,27.0
Player 286,87.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,Male,25.0
Player 287,577.0,392.0,193.0,113.0,0.0,171.0,169.0,1615.0,Male,51.0
Player 288,1299.0,5004.0,4422.0,1893.0,0.0,0.0,0.0,12619.0,Male,44.0
Player 289,514.0,0.0,0.0,0.0,147.0,0.0,0.0,660.0,Female,61.0
Player 290,419.0,0.0,0.0,0.0,120.0,0.0,0.0,540.0,Female,27.0
Player 291,52.0,22.0,28.0,8.0,0.0,12.0,70.0,192.0,Female,43.0
Player 292,751.0,486.0,163.0,77.0,0.0,173.0,535.0,2185.0,Male,34.0
Player 293,77.0,30.0,15.0,12.0,0.0,17.0,69.0,220.0,Female,21.0
Player 294,45.0,36.0,22.0,13.0,0.0,14.0,42.0,173.0,Female,40.0
Player 295,124.0,22.0,23.0,10.0,0.0,28.0,70.0,277.0,Male,21.0
Player 296,69.0,39.0,15.0,13.0,0.0,20.0,60.0,217.0,Male,46.0
Player 297,77.0,31.0,29.0,11.0,0.0,20.0,30.0,198.0,Male,27.0
Player 298,86.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,Male,21.0
Player 299,73.0,30.0,24.0,4.0,0.0,30.0,45.0,205.0,Female,65.0
Player 300,53.0,20.0,30.0,2.0,0.0,10.0,53.0,167.0,Female,32.0
Player 301,77.0,18.0,29.0,6.0,0.0,31.0,37.0,198.0,Male,56.0
Player 302,609.0,292.0,217.0,150.0,0.0,228.0,728.0,2223.0,Female,27.0
Player 303,90.0,44.0,24.0,6.0,0.0,21.0,51.0,236.0,Male,27.0
Player 304,68.0,53.0,13.0,5.0,0.0,11.0,57.0,207.0,Male,34.0
Player 305,738.0,350.0,243.0,86.0,0.0,219.0,473.0,2109.0,Female,62.0
Player 306,691.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,Male,28.0
Player 307,0.0,718.0,0.0,0.0,0.0,0.0,0.0,718.0,Male,29.0
Player 308,1188.0,3114.0,7251.0,893.0,0.0,0.0,0.0,12445.0,Male,23.0
Player 309,72.0,18.0,23.0,8.0,0.0,25.0,44.0,191.0,Male,35.0
Player 310,837.0,439.0,260.0,105.0,0.0,178.0,395.0,2215.0,Male,65.0
Player 311,499.0,356.0,304.0,86.0,0.0,276.0,602.0,2123.0,Male,30.0
Player 312,319.0,0.0,0.0,0.0,129.0,0.0,0.0,447.0,Male,34.0
